SEASON,PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
2024-25,Nikola Jokić,DEN,0.9177787044759522,100.0,1.21,65.31,70,36.73,3117.0,44.53
2023-24,Nikola Jokić,DEN,0.9134548555420114,99.87639060568603,1.14,69.53,79,34.64,3127.5,39.59
2023-24,Luka Dončić,DAL,0.8599233335471868,99.75278121137207,1.07,66.67,70,37.49,2813.0,40.19
2023-24,Domantas Sabonis,SAC,0.836656080922136,99.6291718170581,0.91,74.39,82,35.71,2670.0,32.56
2023-24,Giannis Antetokounmpo,MIL,0.8354224139774598,99.50556242274413,1.04,65.22,73,35.17,2660.0,36.44
2024-25,Shai Gilgeous-Alexander,OKC,0.8312282136823421,99.38195302843016,1.02,66.0,76,34.18,2646.5,34.82
2023-24,Anthony Davis,LAL,0.8300680588524625,99.2583436341162,0.98,68.6,76,35.53,2654.0,34.92
2023-24,Shai Gilgeous-Alexander,OKC,0.7991969803896408,99.13473423980223,0.97,64.85,75,34.04,2468.0,32.91
2024-25,Giannis Antetokounmpo,MIL,0.7910919355873485,99.01112484548825,1.05,58.15,67,34.16,2400.5,35.83
2023-24,LeBron James,LAL,0.7665402258292167,98.8875154511743,0.92,63.61,71,35.26,2291.0,32.27
2023-24,Kevin Durant,PHX,0.754707448514788,98.76390605686032,0.79,70.9,75,37.21,2210.5,29.47
2024-25,Anthony Edwards,MIN,0.7544628536601014,98.64029666254636,0.76,72.94,79,36.34,2178.5,27.58
2024-25,Karl-Anthony Towns,NYK,0.7544107268877911,98.51668726823239,0.89,63.94,72,34.95,2243.5,31.16
2023-24,Jayson Tatum,BOS,0.7530995380766022,98.39307787391843,0.84,67.21,74,35.75,2221.5,30.02
2024-25,Ivica Zubac,LAC,0.7493464104702636,98.26946847960446,0.84,66.67,80,32.8,2206.5,27.58
2024-25,Jayson Tatum,BOS,0.744469215799491,98.14585908529048,0.83,66.66,72,36.44,2180.0,30.28
2023-24,Victor Wembanyama,SAS,0.7444197621949915,98.02224969097651,1.02,53.51,71,29.67,2149.5,30.27
2024-25,James Harden,LAC,0.7400063621393896,97.89864029666255,0.76,70.86,79,35.3,2127.0,26.92
2024-25,Domantas Sabonis,SAC,0.7389116999208742,97.77503090234858,0.89,61.71,70,34.7,2173.5,31.05
2023-24,Jalen Brunson,NYK,0.7337631787173071,97.6514215080346,0.77,69.27,77,35.41,2102.0,27.3
2024-25,LeBron James,LAL,0.732006907465623,97.52781211372064,0.87,62.1,70,34.92,2129.5,30.42
2023-24,Anthony Edwards,MIN,0.7223166741515366,97.40420271940667,0.73,70.39,79,35.07,2009.5,25.44
2024-25,Tyler Herro,MIA,0.7190620923419089,97.28059332509271,0.74,69.23,77,35.39,2010.5,26.11
2024-25,Trae Young,ATL,0.7119487927974166,97.15698393077874,0.72,69.59,76,36.04,1967.5,25.89
2023-24,Stephen Curry,GSW,0.7087450011761938,97.03337453646476,0.83,61.52,74,32.72,2016.5,27.25
2023-24,DeMar DeRozan,CHI,0.7079363679134322,96.9097651421508,0.62,75.93,79,37.83,1866.0,23.62
2023-24,Tyrese Haliburton,IND,0.7074391587006266,96.78615574783683,0.9,56.49,69,32.23,2006.0,29.07
2023-24,Dejounte Murray,ATL,0.7053794829024186,96.66254635352287,0.69,70.72,78,35.68,1921.5,24.63
2024-25,Tyrese Haliburton,IND,0.7042727914287548,96.5389369592089,0.81,62.26,73,33.57,1985.0,27.19
2024-25,Josh Hart,NYK,0.7013577019310964,96.41532756489494,0.64,73.6,77,37.62,1853.5,24.07
2024-25,Bam Adebayo,MIA,0.7004114005260794,96.29171817058096,0.72,67.93,78,34.28,1921.0,24.63
2023-24,Jarrett Allen,CLE,0.6979360471332948,96.16810877626699,0.8,62.04,77,31.72,1965.5,25.53
2024-25,Devin Booker,PHX,0.697779666816364,96.04449938195303,0.67,71.01,75,37.27,1867.5,24.9
2023-24,De'Aaron Fox,SAC,0.6977703107290263,95.92088998763906,0.72,67.55,74,35.93,1916.0,25.89
2023-24,Pascal Siakam,IND,0.6976313060028656,95.7972805933251,0.72,67.53,80,33.22,1900.5,23.76
2024-25,Stephen Curry,GSW,0.6933515643378028,95.67367119901112,0.86,57.23,70,32.18,1936.0,27.66
2024-25,Nikola Vučević,CHI,0.693061525630333,95.55006180469717,0.85,57.88,73,31.21,1928.5,26.42
2023-24,Chet Holmgren,OKC,0.6927928722653494,95.42645241038319,0.8,61.3,82,29.42,1930.0,23.54
2023-24,Rudy Gobert,MIN,0.690971108402301,95.30284301606922,0.73,65.88,76,34.12,1903.5,25.05
2024-25,Cade Cunningham,DET,0.690127723957999,95.17923362175526,0.78,62.3,70,35.03,1922.0,27.46
2023-24,Damian Lillard,MIL,0.6883995209683283,95.05562422744129,0.73,65.51,73,35.32,1872.0,25.64
2023-24,Kawhi Leonard,LAC,0.6878127606338615,94.93201483312733,0.82,59.2,68,34.27,1909.0,28.07
2024-25,Jarrett Allen,CLE,0.6865737473535638,94.80840543881335,0.83,58.33,82,28.0,1902.0,23.2
2023-24,Joel Embiid,PHI,0.6854777485511431,94.6847960444994,1.19,33.27,39,33.57,1555.5,39.88
2023-24,Paolo Banchero,ORL,0.6840516135240906,94.56118665018542,0.64,71.11,80,34.98,1805.0,22.56
2024-25,Alperen Sengun,HOU,0.6800498813113491,94.43757725587145,0.78,60.85,76,31.51,1867.5,24.57
2023-24,Nikola Vučević,CHI,0.6794671307285985,94.31396786155747,0.7,66.3,76,34.34,1829.0,24.07
2024-25,Evan Mobley,CLE,0.6781305468232073,94.19035846724351,0.86,55.04,71,30.51,1858.0,26.17
2023-24,Devin Booker,PHX,0.6747316139517974,94.06674907292954,0.75,62.16,68,35.98,1835.5,26.99
2023-24,Tyrese Maxey,PHI,0.6727013429995081,93.94313967861557,0.68,66.71,70,37.51,1792.0,25.6
2024-25,Pascal Siakam,IND,0.6685552597249844,93.8195302843016,0.7,64.73,78,32.66,1792.5,22.98
2023-24,Paul George,LAC,0.6652311755522764,93.69592088998763,0.71,63.56,74,33.81,1771.5,23.94
2023-24,Bam Adebayo,MIA,0.6645722396869185,93.57231149567366,0.74,61.39,71,34.03,1794.0,25.27
2023-24,Mikal Bridges,BKN,0.660197600564573,93.4487021013597,0.57,72.52,82,34.81,1628.5,19.86
2023-24,James Harden,LAC,0.6596014841427684,93.32509270704573,0.71,62.75,72,34.3,1755.0,24.38
2023-24,Fred VanVleet,HOU,0.6590187335600179,93.20148331273177,0.63,68.2,73,36.77,1684.5,23.08
2024-25,Zach LaVine,SAC,0.6589853189623832,93.0778739184178,0.66,66.12,74,35.17,1727.0,23.34
2024-25,Mikal Bridges,NYK,0.6586538461538461,92.95426452410383,0.5,77.14,82,37.03,1513.5,18.46
2024-25,Kevin Durant,PHX,0.6570445991317551,92.83065512978986,0.78,57.54,62,36.53,1762.0,28.42
2024-25,Victor Wembanyama,SAS,0.651797170719189,92.7070457354759,1.04,38.8,46,33.2,1581.0,34.37
2023-24,Coby White,CHI,0.6505701866940399,92.58343634116193,0.54,73.21,79,36.47,1547.5,19.59
2024-25,Austin Reaves,LAL,0.6497415046726973,92.45982694684795,0.66,64.79,73,34.93,1677.0,22.97
2024-25,DeMar DeRozan,SAC,0.6497147729945894,92.336217552534,0.58,70.32,77,35.94,1598.0,20.75
2024-25,Anthony Davis,DAL,0.649627895040739,92.21260815822002,0.97,43.33,51,33.44,1653.5,32.42
2024-25,Michael Porter Jr.,DEN,0.6477713799961506,92.08899876390606,0.64,65.89,77,33.68,1671.0,21.7
2024-25,Donovan Mitchell,CLE,0.6464682106883941,91.96538936959209,0.77,56.71,71,31.44,1718.5,24.2
2024-25,Derrick White,BOS,0.6442962618421334,91.84177997527813,0.64,65.39,76,33.86,1646.5,21.66
2023-24,Michael Porter Jr.,DEN,0.6426977074912854,91.71817058096416,0.64,65.16,81,31.66,1643.5,20.29
2024-25,Darius Garland,CLE,0.639330852633605,91.59456118665018,0.73,58.45,75,30.68,1669.5,22.26
2024-25,Jalen Green,HOU,0.6372043476401275,91.47095179233622,0.58,68.52,82,32.89,1563.5,19.07
2023-24,Austin Reaves,LAL,0.6347958234426124,91.34734239802225,0.6,66.79,82,32.06,1571.0,19.16
2024-25,Luka Dončić,LAL,0.6319021192874403,91.22373300370829,0.91,44.93,50,35.37,1607.0,32.14
2023-24,Miles Bridges,CHA,0.6311937298175829,91.10012360939432,0.61,65.58,69,37.41,1580.5,22.91
2024-25,Josh Giddey,CHI,0.6309117106135455,90.97651421508036,0.78,53.78,70,30.24,1653.0,23.61
2024-25,Rudy Gobert,MIN,0.6307914180620603,90.85290482076638,0.68,60.68,72,33.17,1621.5,22.52
2024-25,Jalen Duren,DET,0.6306697889266697,90.72929542645241,0.81,51.67,78,26.07,1652.0,21.18
2024-25,Jalen Brunson,NYK,0.6297154680182203,90.60568603213845,0.71,58.45,65,35.4,1622.5,24.96
2024-25,Dyson Daniels,ATL,0.629386668377494,90.48207663782448,0.61,65.32,76,33.83,1568.0,20.63
2024-25,Christian Braun,DEN,0.6285740253630161,90.3584672435105,0.57,67.97,79,33.87,1521.0,19.25
2024-25,Jalen Williams,OKC,0.6280714698145891,90.23485784919654,0.73,56.83,69,32.42,1629.0,23.61
2023-24,Zion Williamson,NOP,0.6275969825281751,90.11124845488257,0.74,56.07,70,31.53,1641.5,23.45
2023-24,Scottie Barnes,TOR,0.6269500759179658,89.9876390605686,0.78,53.21,60,34.9,1631.0,27.18
2024-25,Damian Lillard,MIL,0.6266720664656444,89.86402966625462,0.78,53.17,58,36.08,1622.5,27.97
2023-24,Kyrie Irving,DAL,0.6251670729881739,89.74042027194066,0.8,51.57,58,34.99,1617.0,27.88
2023-24,Jalen Green,HOU,0.625122965719296,89.61681087762669,0.59,66.09,82,31.72,1542.5,18.81
2024-25,OG Anunoby,NYK,0.624310322704818,89.49320148331273,0.55,68.74,74,36.56,1481.0,20.01
