PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
Nikola Jokić,DEN,0.9483737603223139,100.0,1.1728859060402683,67.54744966442952,149,35.62187919463087,6244.5,41.910805369127516
Shai Gilgeous-Alexander,OKC,0.8482166364279,99.79423868312757,0.9951655629139071,65.42880794701986,151,34.11046357615894,5114.5,33.87132450331126
Giannis Antetokounmpo,MIL,0.8465214797831974,99.58847736625515,1.0447857142857144,61.836499999999994,140,34.68664285714286,5060.5,36.14807142857143
Domantas Sabonis,SAC,0.8251351659084782,99.38271604938271,0.9007894736842106,68.55052631578947,152,35.24486842105264,4843.5,31.864605263157895
Luka Dončić,LAL,0.7967134836075994,99.1769547325103,1.0033333333333334,57.61166666666667,120,36.60666666666667,4420.0,36.835833333333326
Anthony Davis,DAL,0.789570343172264,98.97119341563786,0.9759842519685039,58.45220472440944,127,34.690708661417325,4307.5,33.91606299212599
Jayson Tatum,BOS,0.7822253194780573,98.76543209876543,0.8350684931506849,66.93876712328766,146,36.090273972602745,4401.5,30.148219178082186
LeBron James,LAL,0.7821088075986122,98.559670781893,0.895177304964539,62.86035460992909,141,35.09120567375887,4420.5,31.35156028368794
Anthony Edwards,MIN,0.7725818851559179,98.35390946502058,0.745,71.66499999999999,158,35.705000000000005,4188.0,26.509999999999998
Kevin Durant,PHX,0.7436870807055942,98.14814814814815,0.7854744525547446,64.85386861313869,137,36.90226277372263,3972.5,28.994817518248176
Victor Wembanyama,SAS,0.738388990051464,97.94238683127571,1.027863247863248,47.7265811965812,117,31.057863247863253,3730.5,31.881965811965813
Tyrese Haliburton,IND,0.7381226879551563,97.7366255144033,0.8537323943661972,59.4562676056338,142,32.918873239436614,3991.0,28.103521126760562
James Harden,LAC,0.7352264191678953,97.53086419753086,0.736158940397351,66.99298013245033,151,34.823178807947016,3882.0,25.708874172185432
Stephen Curry,GSW,0.7335860545348855,97.32510288065843,0.8445833333333332,59.434583333333336,144,32.457499999999996,3952.5,27.449305555555554
Jarrett Allen,CLE,0.7245461515981002,97.11934156378601,0.8154716981132075,60.126666666666665,159,29.801509433962266,3867.5,24.328364779874214
Devin Booker,PHX,0.7204001685104067,96.91358024691358,0.708041958041958,66.8016083916084,143,36.65657342657343,3703.0,25.89384615384615
Jalen Brunson,NYK,0.7193121967228394,96.70781893004116,0.7425352112676056,64.31718309859156,142,35.405422535211265,3724.5,26.22887323943662
Nikola Vučević,CHI,0.718953571017657,96.50205761316872,0.7734899328859061,62.174765100671145,149,32.8065100671141,3757.5,25.221342281879195
Pascal Siakam,IND,0.7167633947101943,96.29629629629629,0.7101265822784809,66.14772151898734,158,32.94354430379747,3693.0,23.374936708860762
Bam Adebayo,MIA,0.7166013553148769,96.09053497942386,0.7295302013422817,64.81362416107382,149,34.160872483221475,3715.0,24.93496644295302
DeMar DeRozan,SAC,0.7138465157444764,95.88477366255144,0.6002564102564102,73.16096153846154,156,36.897115384615375,3464.0,22.203397435897436
Karl-Anthony Towns,MIN,0.7108833791740766,95.67901234567901,0.8159701492537313,58.16567164179105,134,33.89507462686568,3715.5,27.72686567164179
Rudy Gobert,MIN,0.6947999368153714,95.47325102880659,0.7056756756756757,63.35027027027027,148,33.65783783783784,3525.0,23.81918918918919
Mikal Bridges,NYK,0.6944169073557072,95.26748971193416,0.5349999999999999,74.83,164,35.92,3142.0,19.16
Damian Lillard,MIL,0.6936370907690943,95.06172839506173,0.7521374045801527,60.046488549618324,131,35.656488549618324,3494.5,26.671603053435113
Trae Young,ATL,0.6922063954943105,94.8559670781893,0.7324615384615385,61.17430769230769,130,36.00676923076923,3421.5,26.322000000000003
Ivica Zubac,LAC,0.6854084425471533,94.65020576131687,0.7802702702702703,56.984594594594604,148,29.85486486486487,3488.0,23.568918918918918
Alperen Sengun,HOU,0.6841493816032872,94.44444444444444,0.78,56.825251798561155,139,31.945107913669062,3471.0,24.96884892086331
Josh Hart,NYK,0.6840619651127006,94.23868312757202,0.5682278481012658,71.12386075949367,158,35.46683544303798,3214.5,20.342974683544305
De'Aaron Fox,SAS,0.6818575628931505,94.03292181069959,0.6880882352941178,62.713088235294116,136,36.03029411764706,3367.0,24.75485294117647
Michael Porter Jr.,DEN,0.6786888326328215,93.82716049382715,0.64,65.51575949367088,158,32.64443037974684,3314.5,20.977151898734178
Austin Reaves,LAL,0.6754195088533494,93.62139917695474,0.628258064516129,65.84806451612904,155,33.41167741935484,3248.0,20.954387096774195
Jalen Green,HOU,0.6650247357328227,93.4156378600823,0.585,67.305,164,32.305,3106.0,18.939999999999998
Donovan Mitchell,CLE,0.6641622870127599,93.20987654320987,0.7874603174603174,53.501666666666665,126,33.133650793650794,3295.0,26.146825396825395
Coby White,CHI,0.6639686137486842,93.00411522633745,0.5738562091503269,67.90908496732027,153,34.84490196078432,3041.5,19.88019607843137
Cade Cunningham,DET,0.6617435062119642,92.79835390946502,0.718939393939394,57.79090909090909,132,34.292575757575754,3267.5,24.754545454545454
Derrick White,BOS,0.6607788824832999,92.5925925925926,0.64,62.9893288590604,149,33.25248322147651,3172.5,21.287651006711407
Tyrese Maxey,PHI,0.6531807102921431,92.38683127572016,0.6757377049180328,59.50245901639344,122,37.59098360655738,3099.5,25.403934426229505
Tyler Herro,MIA,0.6505588135890439,92.18106995884774,0.7011764705882353,57.413529411764706,119,34.72294117647059,2903.5,24.39823529411765
Paolo Banchero,ORL,0.6505404457880466,91.9753086419753,0.6655555555555556,59.81809523809524,126,34.760952380952375,2931.5,23.264603174603177
Scottie Barnes,TOR,0.6472973541430878,91.76954732510289,0.7487999999999999,53.7352,125,33.8236,3166.5,25.328799999999998
Chet Holmgren,OKC,0.6437520307386293,91.56378600823045,0.7915789473684212,50.344210526315784,114,28.85017543859649,2603.0,22.835438596491226
Dejounte Murray,NOP,0.6433582402547913,91.35802469135803,0.6786238532110092,57.92183486238532,109,34.81825688073395,2575.5,23.626055045871556
Evan Mobley,CLE,0.6428305830762897,91.1522633744856,0.8186776859504132,48.38297520661157,121,30.567851239669423,3020.0,24.95925619834711
Miles Bridges,CHA,0.6422359605885108,90.94650205761316,0.6629323308270676,58.82390977443609,133,34.66233082706767,3038.0,22.842631578947366
Jalen Williams,OKC,0.6420013989722094,90.74074074074075,0.6944999999999999,56.65757142857142,140,31.862142857142857,3101.0,22.149428571428572
Josh Giddey,OKC,0.6345819494795639,90.53497942386831,0.7426666666666667,52.355999999999995,150,27.52,3072.5,20.47933333333333
Kawhi Leonard,LAC,0.6336487389452853,90.3292181069959,0.7918095238095239,48.90342857142858,105,33.431333333333335,2785.5,26.52657142857143
Jamal Murray,DEN,0.6322909173611841,90.12345679012346,0.7015079365079366,54.81420634920635,126,33.964126984126985,2998.5,23.796031746031748
Jalen Duren,DET,0.6291086147837153,89.91769547325103,0.7836690647482015,48.81309352517986,139,27.41726618705036,2991.0,21.517913669064747
Brook Lopez,MIL,0.6271897164687146,89.7119341563786,0.5699371069182391,62.985786163522015,159,31.179119496855343,2816.0,17.71012578616352
Myles Turner,IND,0.626200254932349,89.50617283950618,0.7016778523489934,53.94355704697987,149,28.525973154362422,2966.0,19.906375838926177
Jaylen Brown,BOS,0.6232093315295948,89.30041152263375,0.6457894736842106,57.29842105263158,133,33.83421052631579,2899.0,21.799473684210525
Jaren Jackson Jr.,MEM,0.6204498017306328,89.09465020576131,0.6728571428571429,55.080000000000005,140,30.932571428571425,2910.5,20.79
Keegan Murray,SAC,0.6178022959363018,88.88888888888889,0.5050980392156863,66.04320261437908,153,33.97764705882353,2608.0,17.04751633986928
Kyrie Irving,DAL,0.6176767319323277,88.68312757201646,0.7583333333333334,48.91259259259259,108,35.49462962962963,2901.5,26.86611111111111
Fred VanVleet,HOU,0.6161070176001617,88.47736625514403,0.5668421052631579,61.63157894736842,133,36.057218045112776,2711.0,20.38676691729323
Joel Embiid,PHI,0.6152721531366537,88.27160493827161,1.0753448275862068,27.150689655172418,58,32.47586206896552,2037.5,35.126724137931035
Deni Avdija,WAS,0.6143101364941802,88.06584362139918,0.6442857142857144,56.14469387755102,147,30.055714285714288,2857.5,19.440408163265307
