SEASON,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FANTASY_POINTS,AVG_FANTASY_PPG,FANTASY_POINTS_PER_MIN,PCT_GAMES_PLAYED,AVG_MINUTES,PCT_MINUTES_PLAYED,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FTM,FTA,FG3M,OREB
2023-24,Nikola Jokić,DEN,79,2736.5333333333333,3127.5,39.59,1.14,96.34,34.64,69.53,2085,976,708,108,68,237,194,822,1411,358,438,83,223
2024-25,Nikola Jokić,DEN,70,2570.765,3117.0,44.53,1.21,85.37,36.73,65.31,2071,892,716,127,45,230,160,786,1364,361,451,138,200
2023-24,Luka Dončić,DAL,70,2624.04,2813.0,40.19,1.07,85.37,37.49,66.67,2370,647,686,99,38,282,149,804,1652,478,608,284,59
2023-24,Domantas Sabonis,SAC,82,2928.0216666666665,2670.0,32.56,0.91,100.0,35.71,74.39,1593,1120,673,74,48,272,250,634,1068,292,415,33,294
2023-24,Giannis Antetokounmpo,MIL,73,2567.2433333333333,2660.0,36.44,1.04,89.02,35.17,65.22,2222,841,476,87,79,250,210,837,1369,514,782,34,196
2023-24,Anthony Davis,LAL,76,2700.2433333333333,2654.0,34.92,0.98,92.68,35.53,68.6,1876,961,266,91,178,159,177,713,1283,421,516,29,239
2024-25,Shai Gilgeous-Alexander,OKC,76,2597.63,2646.5,34.82,1.02,92.68,34.18,66.0,2484,379,486,131,77,183,164,860,1656,601,669,163,67
2023-24,Shai Gilgeous-Alexander,OKC,75,2552.6866666666665,2468.0,32.91,0.97,91.46,34.04,64.85,2254,415,465,150,67,162,184,796,1487,567,649,95,65
2024-25,Giannis Antetokounmpo,MIL,67,2288.63,2400.5,35.83,1.05,81.71,34.16,58.15,2036,798,433,58,78,206,155,793,1319,436,707,14,147
2023-24,LeBron James,LAL,71,2503.6833333333334,2291.0,32.27,0.92,86.59,35.26,63.61,1822,518,589,89,38,245,78,685,1269,303,404,149,61
2024-25,Karl-Anthony Towns,NYK,72,2516.72,2243.5,31.16,0.89,87.8,34.95,63.94,1759,920,222,71,50,192,249,639,1215,339,409,142,212
2023-24,Jayson Tatum,BOS,74,2645.213333333333,2221.5,30.02,0.84,90.24,35.75,67.21,1987,601,364,75,43,188,145,672,1426,414,497,229,67
2023-24,Kevin Durant,PHX,75,2790.6366666666668,2210.5,29.47,0.79,91.46,37.21,70.9,2032,495,378,69,91,244,133,751,1436,362,423,168,41
2024-25,Ivica Zubac,LAC,80,2624.1766666666667,2206.5,27.58,0.84,97.56,32.8,66.67,1340,1010,214,55,90,127,168,592,942,156,236,0,300
2024-25,Jayson Tatum,BOS,72,2623.8166666666666,2180.0,30.28,0.83,87.8,36.44,66.66,1932,623,431,76,38,209,157,662,1465,358,440,250,48
2024-25,Anthony Edwards,MIN,79,2871.0583333333334,2178.5,27.58,0.76,96.34,36.34,72.94,2177,450,359,91,51,249,150,721,1612,415,496,320,61
2024-25,Domantas Sabonis,SAC,70,2428.8766666666666,2173.5,31.05,0.89,85.37,34.7,61.71,1337,972,423,48,26,202,229,527,893,218,289,65,267
2023-24,Victor Wembanyama,SAS,71,2106.235,2149.5,30.27,1.02,86.59,29.67,53.51,1522,755,274,88,254,260,153,551,1186,292,367,128,161
2024-25,LeBron James,LAL,70,2444.4466666666667,2129.5,30.42,0.87,85.37,34.92,62.1,1710,546,575,70,39,260,99,651,1270,259,331,149,72
2024-25,James Harden,LAC,79,2789.036666666667,2127.0,26.92,0.76,96.34,35.3,70.86,1802,456,687,118,55,341,162,531,1295,505,578,235,55
2023-24,Jalen Brunson,NYK,77,2726.3033333333333,2102.0,27.3,0.77,93.9,35.41,69.27,2212,278,519,70,13,186,144,790,1648,421,497,211,43
